No.,Source,Destination,Protocol,Length,Protocol_num,Packet_Count,Result
4307,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,340,7,172,Normal
4308,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4023:3001::5e,QUIC,140,7,6701,Normal
4309,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4023:3001::5e,QUIC,991,7,6701,Anomaly
4310,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1014,7,172,Normal
4311,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,87,7,172,Normal
4312,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4023:3001::5e,QUIC,94,7,6701,Normal
4313,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,86,7,172,Normal
4314,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,206,Normal
4315,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,182,7,172,Normal
4316,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,91,7,172,Normal
4317,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4023:3001::5e,QUIC,93,7,6701,Normal
4318,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,626,7,172,Normal
4319,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,83,7,172,Normal
4320,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4023:3001::5e,QUIC,97,7,6701,Normal
4321,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,86,7,172,Normal
4322,2a06:98c1:3108::ac40:94eb,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.3,110,11,249,Normal
4323,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3108::ac40:94eb,TCP,86,9,6701,Normal
4324,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3108::ac40:94eb,TLSv1.3,114,11,6701,Normal
4325,2a06:98c1:3108::ac40:94eb,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,249,Normal
4326,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::bc,TCP,74,9,6701,Normal
4327,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0f::bc,TCP,74,9,6701,Normal
4328,2607:f8b0:4002:c10::bc,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,46,Normal
4329,2607:f8b0:4002:c0f::bc,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,47,Normal
4330,2607:f8b0:4002:c10::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,141,12,704,Normal
4331,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::5f,UDP,97,12,6701,Normal
4332,fe80::1867:809a:daeb:dc0,fe80::3a94:edff:fed4:d02b,ICMPv6,86,3,155,Normal
4333,fe80::3a94:edff:fed4:d02b,fe80::1867:809a:daeb:dc0,ICMPv6,78,3,239,Normal
4334,fe80::3a94:edff:fed4:d02b,ff02::1,ICMPv6,174,3,239,Normal
4335,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,112,2,6701,Anomaly
