No.,Time,Source,Destination,Protocol,Length,Info,Protocol_num,Packet_Count,Result
273,21.269996,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=19456 Ack=1119 Win=32256 Len=1208 TSval=559045417 TSecr=412648510 [TCP PDU reassembled in 280],6,808,Normal
274,21.270152,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=20664 Win=129856 Len=0 TSval=412648522 TSecr=559045417,6,445,Normal
275,21.270562,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=20664 Ack=1119 Win=32256 Len=1208 TSval=559045417 TSecr=412648510 [TCP PDU reassembled in 280]",6,808,Normal
276,21.270694,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=21872 Win=129856 Len=0 TSval=412648522 TSecr=559045417,6,445,Normal
277,21.272066,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=21872 Ack=1150 Win=32256 Len=1208 TSval=559045418 TSecr=412648510 [TCP PDU reassembled in 280],6,808,Normal
278,21.272067,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=23080 Ack=1150 Win=32256 Len=1208 TSval=559045418 TSecr=412648510 [TCP PDU reassembled in 280]",6,808,Normal
279,21.272212,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2620:149:a16:f000::140,TCP,86,49992  >  443 [ACK] Seq=1150 Ack=24288 Win=131072 Len=0 TSval=412648524 TSecr=559045418,6,445,Normal
280,21.273602,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.3,1294,Application Data,8,808,Normal
281,21.273602,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=25496 Ack=1150 Win=32256 Len=1208 TSval=559045419 TSecr=412648510 [TCP PDU reassembled in 294]",6,808,Normal
282,21.273603,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=26704 Ack=1150 Win=32256 Len=1208 TSval=559045419 TSecr=412648511 [TCP PDU reassembled in 294],6,808,Normal
283,21.273603,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=27912 Ack=1150 Win=32256 Len=1208 TSval=559045419 TSecr=412648511 [TCP PDU reassembled in 294]",6,808,Normal
